Index,Position,High Score,High Rebound,High Assist,High Steal,High Field Goals,High Free Throws,High Three Pointers,High Block,Total Games,Total Points,Hall Of Famer,Points,Assists,Rebound,Height,Weight,Country,Previous Team,Birthdate,Experience,Total Awards,Draft Year,Draft Round,Draft Pick
1,3,8,6,1,0,4,1,0,1,256,1465,FALSE,5.7,0.3,3.3,2.08,109,72,163,1968,5,0,1990,1,25
2,1,22,8,2,0,8,6,0,2,505,4557,FALSE,9,1.2,8,2.06,107,72,263,1946,10,0,1968,1,5
3,1,46,26,11,6,20,13,0,9,1560,38387,TRUE,24.6,3.6,11.2,2.18,102,72,577,1947,20,53,1969,1,1
4,6,23,4,6,1,9,6,3,1,586,8553,FALSE,14.6,3.5,1.9,1.85,73,72,300,1969,9,2,1990,1,3
5,5,16,6,4,3,5,6,0,1,236,1830,FALSE,7.8,1.1,3.3,1.98,107,26,472,1974,7,0,1997,1,11
6,3,27,9,3,1,12,3,0,0,830,15028,FALSE,18.1,2.5,7.5,2.06,111,72,84,1976,13,6,1996,1,3
7,3,16,6,5,3,7,7,0,1,319,1779,FALSE,5.6,1.2,3.2,2.01,100,72,256,1954,5,0,1976,3,43
9,3,0,0,0,0,0,0,0,0,56,533,FALSE,9.5,0.7,0,1.91,88,72,468,1919,2,0,-1,-1,-1
10,0,11,6,2,2,4,2,3,1,174,924,FALSE,5.3,0.5,1.4,1.98,91,62,188,1993,3,1,2013,2,32
11,3,20,7,3,1,9,2,2,3,189,1476,FALSE,9.2,0.9,6,2.03,102,47,324,1999,2,0,2020,1,20
12,6,0,0,0,0,0,0,0,0,30,81,FALSE,2.7,0.5,1,1.96,84,72,429,1983,3,0,2005,2,60
13,6,2,0,1,0,1,0,0,0,28,43,FALSE,1.5,0.8,0.5,1.83,83,72,298,1930,1,0,1953,-1,-1
14,1,6,7,1,1,3,4,0,1,375,1343,FALSE,3.6,0.5,4.1,2.11,100,72,414,1962,6,0,1985,2,40
15,3,0,0,0,0,0,0,0,0,23,77,FALSE,3.3,0.5,2,1.98,95,72,237,1942,1,0,-1,-1,-1
16,0,0,0,0,0,0,0,0,0,337,1642,FALSE,4.9,0.6,3.5,2.01,109,72,45,1990,7,0,2012,2,37
17,1,33,20,12,4,14,8,0,4,988,13910,FALSE,14.1,4.1,7,2.06,95,72,407,1954,13,3,1975,1,4
18,3,23,0,7,0,10,7,0,0,487,4236,FALSE,8.7,1.8,5.6,2.01,95,72,398,1947,7,0,1970,8,120
19,0,2,1,0,0,1,0,0,0,73,185,FALSE,2.5,0.2,1.2,1.93,100,72,19,1984,2,0,2006,2,54
20,0,4,2,2,1,2,0,0,0,41,110,FALSE,2.7,1.6,1.5,1.83,102,72,511,1996,3,0,-1,-1,-1
21,6,3,1,0,1,1,1,1,0,32,101,FALSE,3.2,0.6,0.9,1.96,95,72,577,1994,3,0,2014,1,22
