Index,Name,Position,High Score,High Rebound,High Assist,High Steal,High Field Goals,High Free Throes,High Three Pointers,High Block,Total Games,Total Points,Hall Of Famer,Points,Asists,Rebound,Pie,Height,Weight,Country,Previous Team,Age,Birthdate,Draft,Experience,Total Awards
1,Alaa Abdelnaby,Forward,8 ,6 ,1 ,--,4 ,1 ,--,1 ,256,1465,FALSE,5.7,0.3,3.3,--,"6'10"" (2.08m)",240lb (109kg),USA,Duke,--,"June 24, 1968",1990 R1 Pick 25,5 Years,0
2,Zaid Abdul-Aziz,Center,22 ,8 ,2 ,--,8 ,6 ,--,2 ,505,4557,FALSE,9,1.2,8,--,"6'9"" (2.06m)",235lb (107kg),USA,Iowa State,--,"April 7, 1946",1968 R1 Pick 5,10 Years,0
3,Kareem Abdul-Jabbar,Center,46 ,26 ,11 ,6 ,20 ,13 ,--,9 ,1560,38387,TRUE,24.6,3.6,11.2,--,"7'2"" (2.18m)",225lb (102kg),USA,UCLA,--,"April 16, 1947",1969 R1 Pick 1,20 Years,53
4,Mahmoud Abdul-Rauf,Guard,23 ,4 ,6 ,1 ,9 ,6 ,3 ,1 ,586,8553,FALSE,14.6,3.5,1.9,--,"6'1"" (1.85m)",162lb (73kg),USA,Louisiana State,--,"March 9, 1969",1990 R1 Pick 3,9 Years,2
5,Tariq Abdul-Wahad,Forward-Guard,16 ,6 ,4 ,3 ,5 ,6 ,--,1 ,236,1830,FALSE,7.8,1.1,3.3,--,"6'6"" (1.98m)",235lb (107kg),France,San Jose State,--,"November 3, 1974",1997 R1 Pick 11,7 Years,0
6,Shareef Abdur-Rahim,Forward,27 ,9 ,3 ,1 ,12 ,3 ,--,--,830,15028,FALSE,18.1,2.5,7.5,--,"6'9"" (2.06m)",245lb (111kg),USA,California,--,"December 11, 1976",1996 R1 Pick 3,13 Years,6
7,Tom Abernethy,Forward,16 ,6 ,5 ,3 ,7 ,7 ,--,1 ,319,1779,FALSE,5.6,1.2,3.2,--,"6'7"" (2.01m)",220lb (100kg),USA,Indiana,--,"May 6, 1954",1976 R3 Pick 43,5 Years,0
8,Forest Able,Guard,--,--,--,--,--,--,--,--,1,0,FALSE,--,1,1,--,"6'3"" (1.91m)",180lb (82kg),USA,Western Kentucky,--,"July 27, 1932",1956,1 Year,0
9,John Abramovic,Forward,--,--,--,--,--,--,--,--,56,533,FALSE,9.5,0.7,--,--,"6'3"" (1.91m)",195lb (88kg),USA,Salem,--,"February 9, 1919",Undrafted,2 Years,0
10,Alex Abrines,--,11 ,6 ,2 ,2 ,4 ,2 ,3 ,1 ,174,924,FALSE,5.3,0.5,1.4,--,"6'6"" (1.98m)",200lb (91kg),Spain,FC Barcelona,--,"August 1, 1993",2013 R2 Pick 32,3 Years,1
